year,country,religionCode,population,submitDate
1960,CAN,jaingen,0,1961-08-10
1965,CAN,chrstgen,17316559,1966-08-05
1965,CAN,judgen,286649,1966-04-19
1965,CAN,islmgen,0,1966-11-30
1965,CAN,budgen,790000,1966-02-24
1965,CAN,zorogen,0,1966-05-21
1965,CAN,hindgen,0,1966-03-24
1965,CAN,sikhgen,0,1966-11-20
1965,CAN,shntgen,0,1966-05-05
1965,CAN,taogen,0,1966-03-08
1965,CAN,jaingen,0,1966-03-15
1970,CAN,chrstgen,17889480,1971-05-18
1970,CAN,judgen,287509,1971-12-28
1970,CAN,islmgen,41103,1971-07-03
1970,CAN,budgen,15696,1971-12-23
1970,CAN,zorogen,0,1971-08-07
1970,CAN,hindgen,19615,1971-02-23
1970,CAN,sikhgen,19615,1971-12-28
1970,CAN,shntgen,0,1971-11-07
1970,CAN,taogen,0,1971-07-23
1970,CAN,jaingen,980,1971-11-11
1975,CAN,chrstgen,20097739,1976-06-24
1975,CAN,judgen,303695,1976-10-07
1975,CAN,islmgen,43385,1976-12-02
1975,CAN,budgen,16527,1976-03-20
1975,CAN,zorogen,0,1976-11-24
1975,CAN,hindgen,20659,1976-09-13
1975,CAN,sikhgen,7230,1976-07-16
1975,CAN,shntgen,0,1976-03-10
1975,CAN,taogen,30989,1976-11-30
1975,CAN,jaingen,0,1976-09-27
1980,CAN,chrstgen,21554382,1981-05-14
1980,CAN,judgen,308594,1981-01-24
1980,CAN,islmgen,175619,1981-04-12
1980,CAN,budgen,20847,1981-03-16
1980,CAN,zorogen,0,1981-12-22
1980,CAN,hindgen,50986,1981-08-17
1980,CAN,sikhgen,9064,1981-09-30
1980,CAN,shntgen,0,1981-09-05
1980,CAN,taogen,29458,1981-10-15
1980,CAN,jaingen,0,1981-06-26
1985,CAN,chrstgen,23296160,1986-07-16
1985,CAN,judgen,313572,1986-05-07
1985,CAN,islmgen,212810,1986-06-12
1985,CAN,budgen,0,1986-03-01
1985,CAN,zorogen,0,1986-04-24
1985,CAN,hindgen,0,1986-04-12
1985,CAN,sikhgen,0,1986-12-06
1985,CAN,shntgen,0,1986-04-24
1985,CAN,taogen,0,1986-08-20
1985,CAN,jaingen,0,1986-11-26
1990,CAN,chrstgen,24346000,1991-11-02
1990,CAN,judgen,350000,1991-04-04
1990,CAN,islmgen,250000,1991-03-31
1990,CAN,budgen,500000,1991-11-06
1990,CAN,zorogen,10200,1991-09-24
1990,CAN,hindgen,155000,1991-12-14
1990,CAN,sikhgen,240000,1991-02-21
1990,CAN,shntgen,0,1991-10-09
1990,CAN,taogen,280000,1991-06-21
1990,CAN,jaingen,0,1991-12-15
1995,CAN,chrstgen,24958842,1996-05-23
1995,CAN,judgen,361880,1996-01-09
1995,CAN,islmgen,125000,1996-06-02
1995,CAN,budgen,250000,1996-11-29
1995,CAN,zorogen,7577,1996-04-26
1995,CAN,hindgen,170941,1996-10-07
1995,CAN,sikhgen,197867,1996-06-20
1995,CAN,shntgen,272,1996-11-08
1995,CAN,taogen,141722,1996-10-31
1995,CAN,jaingen,0,1996-04-13
2000,CAN,chrstgen,25571687,2001-12-23
2000,CAN,judgen,373762,2001-06-10
2000,CAN,islmgen,280323,2001-06-16
2000,CAN,budgen,360000,2001-11-18
2000,CAN,zorogen,4955,2001-09-04
2000,CAN,hindgen,186882,2001-06-02
2000,CAN,sikhgen,155735,2001-02-22
2000,CAN,shntgen,545,2001-03-19
2000,CAN,taogen,3445,2001-12-22
